Sveitarfélagsnúmer,Heiti sveitarfélags,Fjöldi íbúða
0.0,Reykjavík,50516.0
1000.0,Kópavogur,12221.0
1100.0,Seltjarnarnes,1616.0
1300.0,Garðabær,4936.0
1400.0,Hafnarfjörður,9626.0
1604.0,Mosfellsbær,2982.0
1606.0,Kjósarhreppur,96.0
2000.0,Reykjanesbær,7232.0
2300.0,Grindavík,994.0
2503.0,Sandgerði,588.0
2504.0,Garður,550.0
2506.0,Vogar,426.0
3000.0,Akranes,2547.0
3506.0,Skorradalshreppur,41.0
3511.0,Hvalfjarðarsveit,243.0
3609.0,Borgarbyggð,1780.0
3709.0,Grundarfjarðarbær,348.0
3710.0,Helgafellssveit,39.0
3711.0,Stykkishólmur,498.0
3713.0,Eyja- og Miklaholtshreppur,65.0
3714.0,Snæfellsbær,695.0
3811.0,Dalabyggð,353.0
4100.0,Bolungarvík,392.0
4200.0,Ísafjarðarbær,1718.0
4502.0,Reykhólahreppur,157.0
4604.0,Tálknafjarðarhreppur,117.0
4607.0,Vesturbyggð,533.0
4803.0,Súðavíkurhreppur,106.0
4901.0,Árneshreppur,35.0
4902.0,Kaldrananeshreppur,66.0
4911.0,Strandabyggð,237.0
5200.0,Skagafjörður,1780.0
5508.0,Húnaþing vestra,583.0
5604.0,Blönduós,381.0
5609.0,Skagaströnd,214.0
5611.0,Skagabyggð,47.0
5612.0,Húnavatnshreppur,183.0
5706.0,Akrahreppur,91.0
6000.0,Akureyri,7483.0
6100.0,Norðurþing,1282.0
6250.0,Fjallabyggð,1066.0
6400.0,Dalvíkurbyggð,726.0
6513.0,Eyjafjarðarsveit,386.0
6515.0,Hörgársveit,238.0
6601.0,Svalbarðsstrandarhreppur,145.0
6602.0,Grýtubakkahreppur,143.0
6607.0,Skútustaðahreppur,175.0
6611.0,Tjörneshreppur,32.0
6612.0,Þingeyjarsveit,454.0
6706.0,Svalbarðshreppur,36.0
6709.0,Langanesbyggð,249.0
7000.0,Seyðisfjörður,329.0
7300.0,Fjarðabyggð,1952.0
7502.0,Vopnafjarðarhreppur,288.0
7505.0,Fljótsdalshreppur,41.0
7509.0,Borgarfjarðarhreppur,88.0
7613.0,Breiðdalshreppur,122.0
7617.0,Djúpavogshreppur,209.0
7620.0,Fljótsdalshérað,1485.0
7708.0,Hornafjörður,823.0
8000.0,Vestmannaeyjar,1690.0
8200.0,Sveitarfélagið Árborg,3137.0
8508.0,Mýrdalshreppur,223.0
8509.0,Skaftárhreppur,222.0
8610.0,Ásahreppur,87.0
8613.0,Rangárþing eystra,685.0
8614.0,Rangárþing ytra,642.0
8710.0,Hrunamannahreppur,289.0
8716.0,Hveragerði,973.0
8717.0,Ölfus,721.0
8719.0,Grímsnes-og Grafningshreppur,206.0
8720.0,Skeiða- og Gnúpverjahreppur,235.0
8721.0,Bláskógabyggð,440.0
8722.0,Flóahreppur,230.0
