Sveitarfélagsnúmer,Sveitarfélag ,Fjöldi sumarhúsa,,,
0.0,Reykjavík,126.0,,,Helstu forsendur:
1000.0,Kópavogur,82.0,,,Byggingarstig sumarhúsanna hefur að lámarki verið fokhelt við talningu
1300.0,Garðabær,1.0,,,
1400.0,Hafnarfjörður,45.0,,,
1604.0,Mosfellsbær,325.0,,,
1606.0,Kjósarhreppur,544.0,,,
2000.0,Reykjanesbær,3.0,,,
2300.0,Grindavík,9.0,,,
2503.0,Sandgerði,18.0,,,
2506.0,Vogar,41.0,,,
3506.0,Skorradalshreppur,527.0,,,
3511.0,Hvalfjarðarsveit,441.0,,,
3609.0,Borgarbyggð,1303.0,,,
3709.0,Grundarfjarðarbær,27.0,,,
3710.0,Helgafellssveit,16.0,,,
3711.0,Stykkishólmur,14.0,,,
3713.0,Eyja- og Miklaholtshreppur,25.0,,,
3714.0,Snæfellsbær,114.0,,,
3811.0,Dalabyggð,138.0,,,
4100.0,Bolungarvík,19.0,,,
4200.0,Ísafjarðarbær,181.0,,,
4502.0,Reykhólahreppur,94.0,,,
4604.0,Tálknafjarðarhreppur,10.0,,,
4607.0,Vesturbyggð,74.0,,,
4803.0,Súðavíkurhreppur,112.0,,,
4901.0,Árneshreppur,34.0,,,
4902.0,Kaldrananeshreppur,29.0,,,
4911.0,Strandabyggð,44.0,,,
5200.0,Skagafjörður,215.0,,,
5508.0,Húnaþing vestra,113.0,,,
5604.0,Blönduós,5.0,,,
5609.0,Skagaströnd,1.0,,,
5611.0,Skagabyggð,14.0,,,
5612.0,Húnavatnshreppur,57.0,,,
5706.0,Akrahreppur,20.0,,,
6000.0,Akureyri,48.0,,,
6100.0,Norðurþing,115.0,,,
6250.0,Fjallabyggð,58.0,,,
6400.0,Dalvíkurbyggð,65.0,,,
6513.0,Eyjafjarðarsveit,89.0,,,
6515.0,Hörgársveit,69.0,,,
6601.0,Svalbarðsstrandarhreppur,95.0,,,
6602.0,Grýtubakkahreppur,32.0,,,
6607.0,Skútustaðahreppur,36.0,,,
6611.0,Tjörneshreppur,1.0,,,
6612.0,Þingeyjarsveit,326.0,,,
6706.0,Svalbarðshreppur,6.0,,,
6709.0,Langanesbyggð,8.0,,,
7000.0,Seyðisfjörður,4.0,,,
7300.0,Fjarðabyggð,30.0,,,
7502.0,Vopnafjarðarhreppur,18.0,,,
7505.0,Fljótsdalshreppur,5.0,,,
7509.0,Borgarfjarðarhreppur,17.0,,,
7613.0,Breiðdalshreppur,10.0,,,
7617.0,Djúpavogshreppur,23.0,,,
7620.0,Fljótsdalshérað,252.0,,,
7708.0,Hornafjörður,121.0,,,
8000.0,Vestmannaeyjar,9.0,,,
8200.0,Sveitarfélagið Árborg,29.0,,,
8508.0,Mýrdalshreppur,52.0,,,
8509.0,Skaftárhreppur,147.0,,,
8610.0,Ásahreppur,31.0,,,
8613.0,Rangárþing eystra,338.0,,,
8614.0,Rangárþing ytra,481.0,,,
8710.0,Hrunamannahreppur,331.0,,,
8716.0,Hveragerði,4.0,,,
8717.0,Ölfus,127.0,,,
8719.0,Grímsnes-og Grafningshreppur,2642.0,,,
8720.0,Skeiða- og Gnúpverjahreppur,166.0,,,
8721.0,Bláskógabyggð,1881.0,,,
8722.0,Flóahreppur,87.0,,,
